Software,Function name,Called time,Log time,Log Level,Weight,Keyword
4,gimp_grid_to_parasite,1,0,0,0.1006,to
4,gimp_text_layer_get_xcf_flags,1,0,0,0.1852,get
4,gimp_text_layer_xcf_save_prepare,1,0,0,3.7467,prepare
4,gimp_viewable_get_expanded,2,0,0,0.1852,get
4,gimp_channel_get_opacity,3,0,0,0.1852,get
4,xcf_write_float,6,0,0,0.2545,write
4,gimp_parasite_list_persistent_length,2,3,10,0.2047,length
4,xcf_save_parasite_list,2,0,0,0.1810,save
4,xcf_save_old_paths,1,0,0,0.5526,old
4,gimp_unit_get_digits,30,0,0,0.1852,get
4,gimp_unit_get_symbol,8,0,0,0.5294,symbol
4,gimp_unit_get_abbreviation,10,0,0,0.1852,get
4,gimp_unit_get_singular,5,0,0,0.1852,get
4,gimp_unit_get_plural,11,0,0,0.1852,get
4,xcf_write_string,6,0,0,0.2545,write
4,xcf_save_vectors,1,0,0,0.1810,save
4,xcf_save_layer_props,1,0,0,0.1869,props
4,xcf_save_hierarchy,2,0,0,0.1810,save
4,xcf_save_channel_props,1,0,0,0.1869,props
4,xcf_calc_levels,2,0,0,0.2842,calc
4,xcf_save_level,1,0,0,0.2419,level
4,xcf_save_tile,1,1,4,0.1810,save
4,xcf_save_tile_rle,1,0,0,0.1810,save
4,xcf_save_parasite,1,0,0,0.1810,save
4,gimp_vectors_compat_get_points,2,0,0,0.1852,get
4,file_utils_filename_from_uri,10,3,11,0.6046,file
4,file_open_sanitize_image,2,0,0,0.7729,open
4,gimp_image_get_load_proc,4,0,0,0.7248,proc
4,gimp_image_set_load_proc,2,0,0,0.7248,proc
4,file_open_handle_color_profile,1,0,0,0.7729,open
4,file_open_file_proc_is_import,2,0,0,0.7729,open
4,gimp_image_set_imported_uri,3,0,0,1.0000,imported
4,file_open_with_proc_and_display,3,2,4,0.7729,open
4,gimp_document_list_add_uri,3,0,0,0.4462,uri
4,gimp_imagefile_check_thumbnail,1,0,0,0.6046,file
4,gimp_imagefile_save_thumbnail,3,0,0,0.6046,file
4,gimp_image_opened,1,0,0,0.0678,image
4,file_open_get_layers,1,0,0,0.7729,open
4,file_open_convert_items,1,0,0,0.7729,open
4,file_utils_any_to_uri,1,1,4,0.6046,file
4,gimp_get_empty_display,3,0,0,0.2097,empty
4,file_open_with_display,8,5,10,0.7729,open
4,gimp_image_undo_is_enabled,5,0,0,0.5404,is
4,gimp_image_invalidate_previews,1,0,0,0.0678,image
4,plug_in_icc_profile_apply_rgb,1,1,4,0.1957,profile
4,file_open_profile_apply_rgb,2,0,0,0.7729,open
4,file_proc_find_by_name,2,1,4,0.7248,proc
4,file_check_magic_list,1,0,0,0.6046,file
4,file_proc_find_by_prefix,2,0,0,0.7248,proc
4,file_proc_find_by_extension,2,0,0,0.7248,proc
4,fileno,4,0,0,0.6046,file
4,getc,53,0,0,0.1852,get
4,file_convert_string,1,0,0,0.6046,file
4,file_check_single_magic,1,0,0,0.6046,file
4,gimp_image_set_save_proc,1,0,0,0.7248,proc
4,gimp_image_set_exported_uri,1,0,0,0.5000,exported
4,gimp_image_export_clean_all,1,0,0,0.3204,all
4,gimp_image_exported,1,0,0,0.5000,exported
4,gimp_image_saved,1,0,0,0.0678,image
4,g_strcanon,2,0,0,0.6364,canon
4,g_convert_error_quark,2,0,0,0.1084,error
4,file_procedure_find_by_prefix,1,0,0,0.6052,by
4,file_utils_filename_is_uri,2,0,0,0.6046,file
4,g_get_current_dir,2,0,0,0.6865,dir
4,g_filename_to_uri,18,1,2,0.4462,uri
4,file_utils_get_ext_start,2,0,0,1.3646,start
4,g_strrstr_len,1,0,0,0.0935,len
4,file_utils_uri_to_utf8_filename,1,0,0,0.6634,utf8
4,file_utils_uri_to_utf8_basename,1,0,0,0.6634,utf8
4,file_utils_unescape_uri,1,0,0,0.6046,file
4,unescape_character,2,0,0,0.6154,character
4,gimp_param_spec_int16,1,0,0,0.0449,in
4,gimp_param_spec_int8,1,0,0,0.2727,t8
4,gimp_param_spec_int32_array,11,0,0,0.1000,t32
4,gimp_param_spec_int16_array,1,0,0,0.0466,array
4,gimp_param_spec_int8_array,20,0,0,0.2727,t8
4,gimp_param_spec_float_array,32,0,0,0.0466,array
4,gimp_param_spec_string_array,19,0,0,0.0573,string
4,gimp_param_spec_item_id,55,0,0,0.3375,id
4,gimp_param_spec_display_id,6,0,0,0.3375,id
4,gimp_param_spec_layer_id,94,0,0,0.3375,id
4,gimp_param_spec_channel_id,24,0,0,0.3375,id
4,gimp_param_spec_selection_id,2,0,0,0.3375,id
4,gimp_param_spec_color_array,2,0,0,0.0466,array
4,gimp_param_spec_vectors_id,35,0,0,0.3375,id
4,gimp_param_spec_parasite,7,0,0,0.0206,param
4,gimp_pdb_compat_arg_type_to_string,2,0,0,0.4648,type
4,g_type_set_qdata,5,0,0,0.4648,type
4,g_type_get_qdata,5,0,0,0.4648,type
4,gimp_pdb_register_compat_proc_name,1,0,0,0.7248,proc
4,gimp_pdb_class_init,1,0,0,0.2219,class
4,gimp_procedure_execute,1,0,0,5.4405,execute
4,gimp_procedure_get_arguments,10,1,3,0.1852,get
4,g_hash_table_get_values,1,0,0,0.2200,table
4,gimp_pdb_get_strings,4,0,0,0.1852,get
4,gimp_pdb_free_strings,2,0,0,0.1000,pdb
4,g_string_printf,3,0,0,0.0573,string
4,output_string,14,0,0,0.0891,output
4,gimp_param_spec_get_desc,4,0,0,0.1852,get
4,gimp_data_factory_get_container_obsolete,1,0,0,0.1852,get
4,gimp_pdb_get_data_factory_item,5,0,0,0.1852,get
4,gimp_pdb_get_brush,12,0,0,0.1852,get
4,gimp_pdb_item_is_writable,9,0,0,0.5404,is
4,gimp_pdb_item_is_attached,106,0,0,0.5404,is
4,gimp_pdb_item_is_in_tree,11,0,0,0.5404,is
4,g_object_is_floating,2,1,4,0.5404,is
4,gimp_pdb_enum_value_get_nick,3,0,0,0.1852,get
4,gimp_pdb_item_is_not_group,59,0,0,0.5404,is
4,gimp_vectors_stroke_get_by_ID,1,1,4,0.6052,by
4,gimp_pdb_context_class_init,1,0,0,0.2219,class
4,gimp_select_criterion_get_type,8,0,0,0.4648,type
4,gimp_transform_direction_get_type,11,0,0,0.4648,type
4,gimp_transform_resize_get_type,16,0,0,0.4648,type
4,gimp_get_paint_info_iter,1,0,0,0.1852,get
4,gimp_procedure_class_init,1,0,0,0.2219,class
4,gimp_procedure_free_strings,4,0,0,0.0186,free
4,g_param_spec_unref,2,0,0,0.0321,g
4,gimp_g_param_spec_get_memsize,2,0,0,0.1852,get
4,gimp_procedure_validate_args,2,1,4,0.6250,validate
4,g_param_spec_ref_sink,2,0,0,0.0321,g
4,gimp_procedure_new,664,0,0,0.0293,new
4,g_value_type_transformable,4,1,3,0.4648,type
4,g_value_transform,7,1,3,0.0421,transform
4,g_param_value_validate,7,0,0,0.6250,validate
4,register_brush_procs,1,0,0,0.5000,procs
4,register_brush_select_procs,1,0,0,0.5000,procs
4,register_brushes_procs,1,0,0,0.5000,procs
4,register_buffer_procs,1,0,0,0.5000,procs
4,register_channel_procs,1,0,0,0.5000,procs
4,register_color_procs,1,0,0,0.5000,procs
4,register_context_procs,1,0,0,0.5000,procs
4,register_convert_procs,1,0,0,0.5000,procs
4,register_display_procs,1,0,0,0.5000,procs
4,register_drawable_procs,1,0,0,0.5000,procs
4,register_drawable_transform_procs,1,0,0,0.5000,procs
4,register_dynamics_procs,1,0,0,0.5000,procs
4,register_edit_procs,1,0,0,0.5000,procs
4,register_fileops_procs,1,0,0,0.6046,file
4,register_floating_sel_procs,1,0,0,0.5000,procs
4,register_font_select_procs,1,0,0,0.5000,procs
4,register_fonts_procs,1,0,0,0.5000,procs
4,register_gimp_procs,1,0,0,0.5000,procs
4,register_gimprc_procs,1,0,0,0.5000,procs
4,register_gradient_procs,1,0,0,0.5000,procs
4,register_gradient_select_procs,1,0,0,0.5000,procs
4,register_gradients_procs,1,0,0,0.5000,procs
4,register_grid_procs,1,0,0,0.5000,procs
4,register_guides_procs,1,0,0,0.5000,procs
4,register_help_procs,1,0,0,0.7874,help
4,register_image_procs,1,0,0,0.5000,procs
4,register_image_select_procs,1,0,0,0.5000,procs
4,register_item_procs,1,0,0,0.5000,procs
4,register_item_transform_procs,1,0,0,0.5000,procs
4,register_layer_procs,1,0,0,0.5000,procs
4,register_message_procs,1,0,0,0.5000,procs
4,register_paint_tools_procs,1,0,0,0.5000,procs
4,register_palette_procs,1,0,0,0.5000,procs
4,register_palette_select_procs,1,0,0,0.5000,procs
4,register_palettes_procs,1,0,0,0.5000,procs
4,register_paths_procs,1,0,0,0.5000,procs
